time,high,average,open,low
2018-04-27 05:00:00,9223.13,9199.5,9206.37,9167.31
2018-04-27 04:00:00,9230.41,9198.29,9154.43,9130.67
2018-04-27 03:00:00,9257.12,9217.41,9257.12,9153.47
2018-04-27 02:00:00,9278.03,9260.7,9245.73,9245.73
2018-04-27 01:00:00,9288.45,9257.76,9225.41,9225.41
2018-04-27 00:00:00,9280.96,9240.73,9276.15,9201.41
2018-04-26 23:00:00,9293.78,9252.29,9208.54,9204.22
2018-04-26 22:00:00,9221.55,9156.12,9098.63,9098.63
2018-04-26 21:00:00,9166.81,9124.02,9122.9,9084.75
2018-04-26 20:00:00,9122.9,9060.5,8873.91,8873.91
2018-04-26 19:00:00,8878.65,8859.44,8842.88,8842.54
2018-04-26 18:00:00,8891.04,8860.52,8865.57,8840.36
2018-04-26 17:00:00,8914.2,8877.04,8887.95,8852.07
2018-04-26 16:00:00,8890,8842.95,8807.22,8785.76
2018-04-26 15:00:00,8828.03,8809.28,8826.45,8786.38
2018-04-26 14:00:00,8874.16,8818.01,8828.96,8758.14
2018-04-26 13:00:00,8896.3,8847.48,8896.3,8806.78
2018-04-26 12:00:00,8932.12,8903.74,8860.22,8860.22
2018-04-26 11:00:00,8907.59,8860.57,8846.15,8832.54
2018-04-26 10:00:00,8867.74,8814.11,8739.42,8739.42
2018-04-26 09:00:00,8759.27,8725.95,8720.45,8671.11
2018-04-26 08:00:00,8877.27,8770.8,8856.25,8689.91
2018-04-26 07:00:00,8876.1,8839.32,8838.64,8814.39
2018-04-26 06:00:00,8929.57,8868,8886.57,8786.27
2018-04-26 05:00:00,8959.78,8912.3,8923.13,8875.48
2018-04-26 04:00:00,8923.13,8876.18,8810.75,8810.75
2018-04-26 03:00:00,8884.56,8836.19,8857.11,8782.48
2018-04-26 02:00:00,8882.63,8836.89,8762.96,8762.96
2018-04-26 01:00:00,8855.55,8800.9,8813.04,8742.94
2018-04-26 00:00:00,8858.7,8771.01,8858.7,8668.97
2018-04-25 23:00:00,8998.73,8885,8952.59,8795.55
2018-04-25 22:00:00,9175.1,9095.95,9170.78,8952.59
2018-04-25 21:00:00,9170.78,9128.11,9073.25,9073.25
2018-04-25 20:00:00,9098.46,9063.63,8973.52,8973.52
2018-04-25 19:00:00,9016.86,8990.34,8990.81,8956.97
2018-04-25 18:00:00,9049.87,9014.1,9049.87,8967.76
2018-04-25 17:00:00,9078.2,9003.64,8915.66,8914.23
2018-04-25 16:00:00,8966.35,8901.46,8966.35,8857.46
2018-04-25 15:00:00,8966.35,8924.65,8888.95,8862.6
2018-04-25 14:00:00,9059.59,8906.45,9059.59,8761.43
2018-04-25 13:00:00,9165.25,9094.19,9147.09,8994.61
2018-04-25 12:00:00,9215.65,9157.08,9147.25,9112.1
2018-04-25 11:00:00,9178.51,9107.08,9160.26,9042.68
2018-04-25 10:00:00,9314.81,9188.26,9314.81,9050.94
2018-04-25 09:00:00,9360.76,9319.63,9307.76,9265.29
2018-04-25 08:00:00,9452.72,9395.63,9424.46,9307.54
2018-04-25 07:00:00,9463.65,9439.91,9431.9,9359.88
2018-04-25 06:00:00,9485.57,9445.8,9394.45,9390.6
2018-04-25 05:00:00,9414.66,9361.11,9312.21,9278.51
2018-04-25 04:00:00,9524.9,9401.76,9395.69,9218.09
2018-04-25 03:00:00,9719.85,9635.06,9689.44,9395.69
2018-04-25 02:00:00,9753.42,9700.76,9640.77,9640.77
2018-04-25 01:00:00,9655.34,9611.11,9567.32,9530.53
2018-04-25 00:00:00,9679.93,9606.74,9652.42,9501.03
2018-04-24 23:00:00,9733.88,9622.18,9570.67,9541.79
2018-04-24 22:00:00,9579.17,9530.64,9474.74,9465.6
2018-04-24 21:00:00,9492.23,9477.74,9454.51,9454.51
2018-04-24 20:00:00,9465.8,9443.34,9460.22,9424.24
2018-04-24 19:00:00,9460.22,9407.38,9409.07,9327.59
2018-04-24 18:00:00,9414.52,9389,9414.52,9373.03
2018-04-24 17:00:00,9415.26,9377.62,9358.16,9345.58
2018-04-24 16:00:00,9376.17,9352.18,9364.73,9329.14
2018-04-24 15:00:00,9376.14,9348.06,9302.46,9302.46
2018-04-24 14:00:00,9331.54,9292,9267.31,9215.95
2018-04-24 13:00:00,9413.76,9359.99,9374.42,9252.39
2018-04-24 12:00:00,9374.42,9331.54,9304.25,9304.25
2018-04-24 11:00:00,9340.13,9319.24,9306.91,9296.69
2018-04-24 10:00:00,9346.34,9300.38,9291.24,9284.46
2018-04-24 09:00:00,9291.24,9268.48,9263.45,9248.62
2018-04-24 08:00:00,9269.91,9256.88,9234.51,9233.18
2018-04-24 07:00:00,9252.21,9232.52,9252.21,9212.77
2018-04-24 06:00:00,9280.75,9262.5,9277.49,9244.16
2018-04-24 05:00:00,9303.42,9257.98,9264.82,9226.26
2018-04-24 04:00:00,9265.52,9228.2,9203.74,9203.74
2018-04-24 03:00:00,9211.72,9200.76,9199.54,9183.59
2018-04-24 02:00:00,9229.94,9196.04,9188.89,9178.63
2018-04-24 01:00:00,9197.73,9172.62,9189.68,9134.38
2018-04-24 00:00:00,9211.34,9057.89,8942.51,8935.65
2018-04-23 23:00:00,8942.51,8934.37,8932.66,8919.92
2018-04-23 22:00:00,8951.86,8939.55,8939.17,8923.35
2018-04-23 21:00:00,8939.29,8929.4,8935.01,8922.11
2018-04-23 20:00:00,8935.01,8888.93,8858.37,8843.75
2018-04-23 19:00:00,8907.53,8886.31,8905.63,8830.92
2018-04-23 18:00:00,8911,8901.35,8893.6,8890.64
2018-04-23 17:00:00,8922.4,8895.1,8921.62,8880.21
2018-04-23 16:00:00,8936.18,8925.67,8908.08,8908.08
2018-04-23 15:00:00,8936.03,8917.86,8921.75,8903.5
2018-04-23 14:00:00,8936.3,8910.55,8932.86,8871.61
